Bertha Valerius	http://www.wikidata.org/entity/Q4984195
Beth	http://www.wikidata.org/entity/Q231657
Beth Ditto	http://www.wikidata.org/entity/Q12827
Beth Levine	http://www.wikidata.org/entity/Q4897573
Betsey Johnson	http://www.wikidata.org/entity/Q467665
Bette Franke	http://www.wikidata.org/entity/Q4898396
Betty Jackson	http://www.wikidata.org/entity/Q4898847
Beverly Feldman	http://www.wikidata.org/entity/Q4899519
Bianca Balti	http://www.wikidata.org/entity/Q292549
Bianca Mosca (designer, probably)	http://www.wikidata.org/entity/Q18164209
Bill Blass	http://www.wikidata.org/entity/Q861953
Bill Gibb	http://www.wikidata.org/entity/Q4909132
Billy Reid	http://www.wikidata.org/entity/Q4913227
Björn Myrman	http://www.wikidata.org/entity/Q5999710
Björn Tagemose	http://www.wikidata.org/entity/Q602022
Blahnik, Manolo	http://www.wikidata.org/entity/Q334412
Bohan, Marc	http://www.wikidata.org/entity/Q3287825
Bohan, Marc (Lugar de nacimiento: Paris, 1926) <BR> Dior, Christian (Lugar de nacimiento: Francia, 1905 - Fecha de defunción: 1957)	http://www.wikidata.org/entity/Q3287825
Bolier, Marielle	http://www.wikidata.org/entity/Q1942435
Bora Aksu	http://www.wikidata.org/entity/Q4944249
Borg Mesch	http://www.wikidata.org/entity/Q5985122
Boris Aronson	http://www.wikidata.org/entity/Q4069851
Boris Bidjan Saberi	http://www.wikidata.org/entity/Q16658127
Bosch, Margareta van den	http://www.wikidata.org/entity/Q4940197
Bottega Veneta	http://www.wikidata.org/entity/Q894874
Bouchra Jarrar	http://www.wikidata.org/entity/Q2921386
Brad Kroenig	http://www.wikidata.org/entity/Q896814
Brandi Quinones	http://www.wikidata.org/entity/Q11688758
Branquinho, Veronique	http://www.wikidata.org/entity/Q2553414
Bregje Heinen	http://www.wikidata.org/entity/Q2349691
Brenda Costa	http://www.wikidata.org/entity/Q742600
Bridget Malcolm	http://www.wikidata.org/entity/Q21621910
Bruce Oldfield	http://www.wikidata.org/entity/Q4978090
Bruna Tenorio	http://www.wikidata.org/entity/Q1021909
